"LIN (30, 1936, 0.05)",,Plain,,,Cipher,,
Image,Type,Red,Green,Blue,Red,Green,Blue
All-black.png,gray,0.0,,,7.902843954302236,,
All-white.png,gray,0.0,,,7.904716873021021,,
Baboon.bmp,color,7.1734356682445926,7.359909172849538,7.4214156002691425,7.893411129029177,7.887605876449032,7.900927999249263
Boat.bmp,color,6.930547222857483,5.906695249511983,6.936074699055458,7.904619145058183,7.877149731785182,7.894476630993551
Clock-5.1.12.png,gray,4.771472683890024,,,7.917475685839921,,
F16.png,color,6.655734537337441,6.397831059187358,5.118478786690014,7.91171248377013,7.905770677561639,7.897028998391589
House.png,gray,4.8073462781895655,,,7.896816404382747,,
kodim07.png,color,1.9766361832204529,1.3531758320685845,2.081871938088209,7.901875558484199,7.910994929383961,7.901370958124678
kodim17.png,color,2.8800739269695312,2.9485706166178742,2.999442553399815,7.898476737047553,7.904527199298486,7.900088385962874
Man-5.3.01.png,gray,7.426216921019844,,,7.9014654806205025,,
Peppers.bmp,color,6.717414143083377,5.979377969494584,7.209746344158797,7.897570775461826,7.908637049212047,7.887388793529144
Ruler.png,gray,0.8781133909106068,,,7.904373094877125,,
